0;287;280;240;117;600;202;138;350;510;470;281;310;372;670;215;480;638;203;342;190;847;260;782;597;190;360;672
287;0;284;442;195;458;318;170;210;231;317;235;174;211;287;165;165;120;223;410;163;420;837;580;544;680;952;307
280;284;0;208;160;281;405;395;220;204;700;380;290;260;890;340;274;470;358;354;313;297;182;293;138;212;203;202
240;442;208;0;155;438;213;249;284;128;294;154;363;518;228;124;239;234;196;415;245;323;252;188;180;100;161;299
117;195;160;155;0;210;295;120;90;187;384;161;209;308;309;196;180;190;192;238;209;522;94;349;155;150;126;146
600;458;281;438;210;0;382;617;415;246;455;398;238;201;352;316;300;183;280;566;492;381;960;350;111;338;238;500
202;318;405;213;295;382;0;484;355;273;765;405;490;748;366;243;234;343;362;313;474;566;472;399;350;96;472;362
138;170;395;249;120;617;484;0;191;205;462;262;600;518;180;424;433;323;152;557;107;963;2082;361;885;345;303;206
350;210;220;284;90;415;355;191;0;90;335;156;359;308;190;360;164;229;171;220;700;274;280;336;287;105;205;258
510;231;204;128;187;246;273;205;90;0;522;592;600;201;192;51;190;373;232;182;390;402;332;408;215;91;192;233
470;317;700;294;384;455;765;462;335;522;0;219;359;748;238;960;300;234;192;342;190;847;260;782;597;190;360;672
281;235;380;154;161;398;405;262;156;592;607;0;880;520;209;472;234;190;280;410;163;420;837;580;544;680;952;307
310;174;290;363;209;238;490;600;359;880;604;90;0;601;522;2082;433;183;362;354;313;297;182;293;138;212;203;202
372;211;260;518;308;201;748;520;601;170;765;187;470;0;94;280;164;343;152;415;245;323;252;188;180;100;161;299
670;287;890;228;309;352;366;138;396;290;405;384;234;287;0;332;190;323;171;238;209;522;94;349;155;150;126;146
215;165;340;124;196;316;243;424;360;51;490;161;190;165;246;0;164;229;232;566;492;381;960;350;111;338;238;500
480;165;274;239;180;300;234;433;164;190;748;209;183;165;455;;0;373;171;313;474;566;472;399;350;96;472;362
638;120;470;234;190;183;343;323;229;373;366;308;343;120;398;171;243;0;232;557;107;963;2082;361;885;345;303;307
203;223;358;196;192;280;362;152;171;232;243;309;323;223;238;232;350;343;0;220;700;274;280;336;287;105;205;202
342;410;354;415;238;566;313;557;220;182;234;196;229;410;201;192;510;323;362;0;390;402;332;408;215;91;192;299
190;163;313;245;209;492;474;107;700;390;343;180;373;163;352;280;470;229;152;204;0;402;280;361;350;338;126;146
847;420;297;323;522;381;566;963;274;402;362;190;284;420;316;362;281;373;171;700;209;0;332;336;885;96;238;500
260;837;182;252;94;960;472;2082;280;332;313;192;128;837;300;152;290;170;232;380;492;323;0;408;287;345;472;362
782;580;293;188;349;350;399;361;336;408;474;238;294;580;183;171;260;210;171;290;474;522;472;0;215;105;303;206
597;544;138;180;155;111;350;885;287;215;405;124;154;544;280;232;890;231;232;260;107;381;2082;361;0;91;205;258
190;680;212;100;150;338;96;345;105;91;262;239;363;680;566;171;340;317;890;890;700;566;280;336;885;0;192;233
360;952;203;161;126;238;472;303;205;192;156;234;518;952;492;281;274;235;340;340;390;963;332;408;287;105;0;180
672;307;202;299;146;500;362;206;258;233;592;196;228;243;381;290;234;354;274;274;190;280;280;361;215;91;192;0
